meter,post,treatment,reef,spat.source,home.away,position,date.checked,month.checked,number.shells,color,status,size,diff,notes
4,63,control,pellicer,butler,away,2,8/17/19,initial,2,red,1,13,0,
10,64,control,butler,butler,home,2,8/17/19,initial,2,blue,1,4,0,
10,64,control,butler,butler,home,2,8/17/19,initial,2,purple,1,8,0,
10,64,control,butler,butler,home,2,8/17/19,initial,2,red,1,5,0,
20,67,cage,pellicer,butler,away,2,8/17/19,initial,2,blue,1,6,0,
20,67,cage,pellicer,butler,away,2,8/17/19,initial,2,purple,1,15,0,
20,67,cage,pellicer,butler,away,2,8/17/19,initial,2,red,1,7,0,
8,68,control,butler,butler,home,2,8/17/19,initial,2,blue,1,14,0,
8,68,control,butler,butler,home,2,8/17/19,initial,2,purple,1,6,0,
8,68,control,butler,butler,home,2,8/17/19,initial,2,red,1,14,0,
17,72,control,butler,butler,home,2,8/17/19,initial,2,blue,1,10,0,
17,72,control,butler,butler,home,2,8/17/19,initial,2,purple,1,17,0,
17,72,control,butler,butler,home,2,8/17/19,initial,2,red,1,11,0,
1,76,control,pellicer,butler,away,2,8/17/19,initial,2,blue,1,16,0,
1,76,control,pellicer,butler,away,2,8/17/19,initial,2,purple,1,14,0,
1,76,control,pellicer,butler,away,2,8/17/19,initial,2,red,1,3,0,
19,81,control,pellicer,butler,away,2,8/17/19,initial,2,blue,1,9,0,
19,81,control,pellicer,butler,away,2,8/17/19,initial,2,purple,1,8,0,
19,81,control,pellicer,butler,away,2,8/17/19,initial,2,red,1,13,0,
12,85,cage,butler,butler,home,2,8/17/19,initial,2,blue,1,9,0,
12,85,cage,butler,butler,home,2,8/17/19,initial,2,purple,1,7,0,
12,85,cage,butler,butler,home,2,8/17/19,initial,2,red,1,11,0,
16,94,cage,butler,butler,home,2,8/17/19,initial,3,blue,1,7,0,
16,94,cage,butler,butler,home,2,8/17/19,initial,3,purple,1,16,0,
16,94,cage,butler,butler,home,2,8/17/19,initial,3,red,1,11,0,
14,96,cage,butler,butler,home,2,8/17/19,initial,2,blue,1,13,0,
14,96,cage,butler,butler,home,2,8/17/19,initial,2,purple,1,9,0,
14,96,cage,butler,butler,home,2,8/17/19,initial,2,red,1,11,0,
18,97,cage,butler,butler,home,2,8/17/19,initial,3,blue,1,7,0,
18,97,cage,butler,butler,home,2,8/17/19,initial,3,purple,1,10,0,
18,97,cage,butler,butler,home,2,8/17/19,initial,3,red,1,5,0,
16,98,cage,pellicer,butler,away,2,8/17/19,initial,3,blue,1,18,0,
16,98,cage,pellicer,butler,away,2,8/17/19,initial,3,purple,1,4,0,
16,98,cage,pellicer,butler,away,2,8/17/19,initial,3,red,1,10,0,
15,102,control,butler,butler,home,2,8/17/19,initial,3,blue,1,7,0,
15,102,control,butler,butler,home,2,8/17/19,initial,3,purple,1,17,0,
15,102,control,butler,butler,home,2,8/17/19,initial,3,red,1,7,0,
14,104,cage,pellicer,butler,away,2,8/17/19,initial,3,blue,1,16,0,
14,104,cage,pellicer,butler,away,2,8/17/19,initial,3,purple,1,17,0,
14,104,cage,pellicer,butler,away,2,8/17/19,initial,3,red,1,18,0,
13,106,cage,pellicer,butler,away,2,8/17/19,initial,3,blue,1,17,0,
13,106,cage,pellicer,butler,away,2,8/17/19,initial,3,purple,1,16,0,
13,106,cage,pellicer,butler,away,2,8/17/19,initial,3,red,1,16,0,
11,108,control,pellicer,butler,away,2,8/17/19,initial,3,blue,1,12,0,
11,108,control,pellicer,butler,away,2,8/17/19,initial,3,purple,1,14,0,
11,108,control,pellicer,butler,away,2,8/17/19,initial,3,red,1,4,0,
2,109,control,pellicer,butler,away,2,8/17/19,initial,2,blue,1,8,0,
2,109,control,pellicer,butler,away,2,8/17/19,initial,2,purple,1,9,0,
2,109,control,pellicer,butler,away,2,8/17/19,initial,2,red,1,13,0,
9,111,cage,pellicer,butler,away,2,8/17/19,initial,2,blue,1,13,0,
9,111,cage,pellicer,butler,away,2,8/17/19,initial,2,purple,1,14,0,
9,111,cage,pellicer,butler,away,2,8/17/19,initial,2,red,1,10,0,
3,114,cage,butler,butler,home,2,8/17/19,initial,3,blue,1,6,0,
3,114,cage,butler,butler,home,2,8/17/19,initial,3,purple,1,13,0,
3,114,cage,butler,butler,home,2,8/17/19,initial,3,red,1,12,0,
7,119,control,butler,butler,home,2,8/17/19,initial,2,blue,1,14,0,
7,119,control,butler,butler,home,2,8/17/19,initial,2,purple,1,7,0,
7,119,control,butler,butler,home,2,8/17/19,initial,2,red,1,8,0,
5,1,cage,pellicer,pellicer,home,3,8/17/19,initial,1,blue,1,5,0,
5,1,cage,pellicer,pellicer,home,3,8/17/19,initial,1,purple,1,13,0,
5,1,cage,pellicer,pellicer,home,3,8/17/19,initial,1,red,1,13,0,
20,2,control,butler,pellicer,away,3,8/17/19,initial,2,blue,1,10,0,
