DateTime,High Range,Temp,Specific Conductance,Salinity,Site
12/1/19,32477.8,20.69,52001.5,34.2124,butler
12/1/19,32802.8,20.89,52290.7,34.4263,butler
12/1/19,33007,20.92,52582.1,34.6421,butler
12/1/19,33044,20.97,52585.3,34.6445,butler
12/1/19,33035.8,21.02,52516.7,34.5937,butler
12/1/19,33035.8,21.01,52527.5,34.6016,butler
12/1/19,33052.3,20.99,52575.5,34.6372,butler
12/1/19,33052.3,21.1,52453.8,34.5471,butler
12/1/19,33081.2,21.15,52444.2,34.54,butler
12/1/19,33151.6,21.26,52434.3,34.5326,butler
12/1/19,33081.2,21.27,52311.8,34.442,butler
12/1/19,33060.5,21.27,52278.9,34.4176,butler
12/1/19,32994.7,21.21,52240.3,34.3891,butler
12/1/19,32827.2,21.11,52084.5,34.2737,butler
12/1/19,32827.2,21.14,52051.4,34.2493,butler
12/1/19,32770.4,21.14,51961.2,34.1826,butler
12/1/19,32701.8,21.17,51819.7,34.078,butler
12/1/19,32693.7,21.2,51774,34.0442,butler
12/1/19,32750.2,21.3,51754.4,34.0298,butler
12/1/19,32758.3,21.42,51637.1,33.9431,butler
12/1/19,32806.9,21.46,51670,33.9674,butler
12/1/19,32912.7,21.59,51695.6,33.9863,butler
12/1/19,32982.4,21.72,51664.5,33.9634,butler
12/2/19,33411,21.85,52183.8,34.3472,butler
12/2/19,33411,21.82,52216,34.3711,butler
12/2/19,33440.6,21.85,52229.4,34.3809,butler
12/2/19,33432.1,21.88,52183.3,34.3468,butler
12/2/19,33440.6,21.84,52239.6,34.3885,butler
12/2/19,33411,21.79,52247.4,34.3943,butler
12/2/19,33381.5,21.73,52266.3,34.4082,butler
12/2/19,33331,21.69,52230.5,34.3818,butler
12/2/19,33289.1,21.62,52240.8,34.3894,butler
12/2/19,33230.6,21.55,52225,34.3777,butler
12/2/19,33118.4,21.43,52179.2,34.3438,butler
12/2/19,32601.4,20.08,52840,34.8333,butler
12/2/19,32693.7,20.18,52876.3,34.8601,butler
12/2/19,32665.5,20.04,52988.2,34.9432,butler
12/2/19,32827.2,20.25,53012.1,34.9609,butler
12/2/19,32859.7,20.24,53075.5,35.008,butler
12/2/19,32831.2,20.12,53164.8,35.0743,butler
12/2/19,32827.2,20.23,53033.8,34.977,butler
12/2/19,32734,20.24,52872,34.857,butler
12/2/19,32685.7,20.18,52861.3,34.849,butler
12/2/19,32685.7,20.2,52838.5,34.8321,butler
12/2/19,32721.9,20.21,52885.3,34.8669,butler
12/2/19,32665.5,20.23,52771.6,34.7826,butler
12/2/19,32693.7,20.27,52771.9,34.7828,butler
12/2/19,32633.4,20.39,52540.4,34.6112,butler
12/2/19,32633.4,20.4,52529,34.6027,butler
12/2/19,32645.5,20.4,52548.1,34.6169,butler
12/2/19,32637.4,20.31,52635.3,34.6815,butler
12/2/19,32569.4,20.17,52682.2,34.7163,butler
12/2/19,32541.4,19.98,52850.3,34.8409,butler
12/3/19,31814.3,17.83,54128.8,35.7911,butler
12/3/19,32175.3,18.61,53813.7,35.5565,butler
12/3/19,32245.4,18.73,53789.7,35.5387,butler
12/3/19,32225.9,18.7,53792.1,35.5404,butler
12/3/19,32144.2,18.48,53913.5,35.6308,butler
12/3/19,32163.6,18.46,53969.2,35.6722,butler
12/3/19,32109.3,18.28,54090.4,35.7624,butler
12/3/19,32101.6,18.21,54160,35.8143,butler
12/3/19,32101.6,18.22,54147.9,35.8053,butler
12/3/19,32001.3,18.14,54073.6,35.75,butler
12/3/19,32009,18.28,53920.7,35.6361,butler
12/3/19,31989.8,18.34,53817.5,35.5593,butler
12/3/19,31936.2,18.37,53692.1,35.466,butler
12/3/19,31963,18.37,53736.7,35.4992,butler
12/3/19,31955.3,18.32,53782.3,35.5331,butler
12/3/19,31936.2,18.14,53962.2,35.667,butler
12/3/19,31829.4,17.9,54066.2,35.7445,butler
12/3/19,31685.9,17.21,54641.8,36.1735,butler
12/3/19,31821.9,17.38,54668.5,36.1934,butler
12/3/19,31818.1,17.53,54480.4,36.0531,butler
12/3/19,31974.5,17.6,54662.3,36.1888,butler
12/3/19,31955.3,17.44,54823,36.3087,butler
12/3/19,31974.5,17.54,54734.2,36.2424,butler
12/3/19,32012.9,17.58,54751,36.2549,butler
12/3/19,32009,17.57,54756.1,36.2588,butler
12/3/19,31928.5,17.42,54800.2,36.2917,butler
12/3/19,31875.1,17.45,54672.2,36.1962,butler
12/3/19,31882.7,17.48,54648.6,36.1786,butler
12/3/19,31909.4,17.63,54512.8,36.0772,butler
