meter,post,treatment,reef,spat.source,home.away,position,date.checked,month.checked,number.shells,color,status,size,missing.cage,notes
10,116,control,butler,butler,home,1,8/17/19,initial,3,blue,1,6,,
10,116,control,butler,butler,home,1,8/17/19,initial,3,purple,1,7,,
10,116,control,butler,butler,home,1,8/17/19,initial,3,red,1,13,,
14,118,cage,butler,butler,home,1,8/17/19,initial,3,blue,1,4,,
14,118,cage,butler,butler,home,1,8/17/19,initial,3,purple,1,13,,
14,118,cage,butler,butler,home,1,8/17/19,initial,3,red,1,7,,
9,4,cage,butler,pellicer,away,2,8/17/19,initial,1,blue,1,7,,
9,4,cage,butler,pellicer,away,2,8/17/19,initial,1,purple,1,11,,
9,4,cage,butler,pellicer,away,2,8/17/19,initial,1,red,1,5,,
7,5,cage,pellicer,pellicer,home,2,8/17/19,initial,2,blue,1,13,,
7,5,cage,pellicer,pellicer,home,2,8/17/19,initial,2,purple,1,7,,
7,5,cage,pellicer,pellicer,home,2,8/17/19,initial,2,red,1,12,,
11,6,control,butler,pellicer,away,2,8/17/19,initial,2,blue,1,13,,
11,6,control,butler,pellicer,away,2,8/17/19,initial,2,purple,1,7,,
11,6,control,butler,pellicer,away,2,8/17/19,initial,2,red,1,8,,
15,8,control,pellicer,pellicer,home,2,8/17/19,initial,2,blue,1,12,,
15,8,control,pellicer,pellicer,home,2,8/17/19,initial,2,purple,1,12,,
15,8,control,pellicer,pellicer,home,2,8/17/19,initial,2,red,1,10,,
5,10,cage,pellicer,pellicer,home,2,8/17/19,initial,3,blue,1,15,,
5,10,cage,pellicer,pellicer,home,2,8/17/19,initial,3,purple,1,12,,
5,10,cage,pellicer,pellicer,home,2,8/17/19,initial,3,red,1,11,,
1,20,control,butler,pellicer,away,2,8/17/19,initial,3,blue,1,5,,
1,20,control,butler,pellicer,away,2,8/17/19,initial,3,purple,1,12,,
1,20,control,butler,pellicer,away,2,8/17/19,initial,3,red,1,11,,
6,21,cage,butler,pellicer,away,2,8/17/19,initial,1,blue,1,9,,
6,21,cage,butler,pellicer,away,2,8/17/19,initial,1,purple,1,10,,
6,21,cage,butler,pellicer,away,2,8/17/19,initial,1,red,1,14,,
5,23,cage,butler,pellicer,away,2,8/17/19,initial,3,blue,1,11,,
5,23,cage,butler,pellicer,away,2,8/17/19,initial,3,purple,1,12,,
