reef.id,date,nerr.zone,nsf.site,quad.no,organism.type,size,sex,notes
PFNSF,4/19/19,pellicer,pellicer,5.5,mudcrab,20,f,
PFNSF,4/19/19,pellicer,pellicer,5.5,mudcrab,21,gf,
PFNSF,4/19/19,pellicer,pellicer,5.5,conch.low,75,NA,
PFNSF,4/19/19,pellicer,pellicer,11,mudcrab,22,gf,
PFNSF,4/19/19,pellicer,pellicer,11,mudcrab,23,gf,
PFNSF,4/19/19,pellicer,pellicer,11,mudcrab,29,m,
PFNSF,4/19/19,pellicer,pellicer,11,mudcrab,18,m,
PFNSF,4/19/19,pellicer,pellicer,11,mudcrab,37,m,
PFNSF,4/19/19,pellicer,pellicer,16.5,mudcrab,20,gf,
PFNSF,4/19/19,pellicer,pellicer,16.5,mudcrab,32,gf,
PFNSF,4/19/19,pellicer,pellicer,16.5,mudcrab,28,m,
PFNSF,4/19/19,pellicer,pellicer,16.5,mudcrab,21,gf,
PFNSF,4/19/19,pellicer,pellicer,16.5,mudcrab,40,m,
PFNSF,4/19/19,pellicer,pellicer,22,mudcrab,21,gf,
PFNSF,4/19/19,pellicer,pellicer,22,mudcrab,20,gf,
PFNSF,4/19/19,pellicer,pellicer,22,mudcrab,24,m,
PFNSF,4/19/19,pellicer,pellicer,22,mudcrab,21,m,
PFNSF,4/19/19,pellicer,pellicer,22,mudcrab,24,m,
PFNSF,4/19/19,pellicer,pellicer,22,mudcrab,19,m,
PFNSF,4/19/19,pellicer,pellicer,27.5,mudcrab,22,f,
PFNSF,4/19/19,pellicer,pellicer,27.5,mudcrab,20,f,
PFNSF,4/19/19,pellicer,pellicer,27.5,mudcrab,28,f,
PFNSF,4/19/19,pellicer,pellicer,27.5,mudcrab,27,m,
PFNSF,4/19/19,pellicer,pellicer,27.5,mudcrab,24,m,
PFNSF,4/19/19,pellicer,pellicer,27.5,mudcrab,22,f,
PFNSF,4/19/19,pellicer,pellicer,27.5,mudcrab,37,m,
PFNSF,4/19/19,pellicer,pellicer,32.5,mudcrab,29,m,
PFNSF,4/19/19,pellicer,pellicer,32.5,mudcrab,41,m,
PFNSF,4/19/19,pellicer,pellicer,32.5,mudcrab,16,f,
PFNSF,4/19/19,pellicer,pellicer,32.5,mudcrab,17,f,
FM1,4/20/19,matanzas,tradewinds,13,mudcrab,17,m,
FM1,4/20/19,matanzas,tradewinds,13,mudcrab,26,m,
FM1,4/20/19,matanzas,tradewinds,13,mudcrab,18,m,
FM1,4/20/19,matanzas,tradewinds,26,mudcrab,19,gf,
FM1,4/20/19,matanzas,tradewinds,26,mudcrab,21,gf,
FM1,4/20/19,matanzas,tradewinds,26,mudcrab,19,m,
FM1,4/20/19,matanzas,tradewinds,26,mudcrab,22,m,
FM1,4/20/19,matanzas,tradewinds,26,mudcrab,25,f,
FM1,4/20/19,matanzas,tradewinds,26,mudcrab,35,m,
FM1,4/20/19,matanzas,tradewinds,26,mudcrab,36,m,
